venue_name,county,location,website,email,phone,contact_person,instagram,source_url,website_verified
The Post Barn,Berkshire,"Berkshire, Newbury",https://www.thepostbarn.co.uk/?utm_source=guides_for_brides,info@thepostbarn.co.uk,01635 881800,,@thepostbarnberkshire,https://guidesforbrides.co.uk/wedding-venues/berkshire/the-post-barn/89961,True
Bird Hills Golf Centre Wedding Venue,Berkshire,"Berkshire, Maidenhead",https://birdhills.co.uk/weddings?utm_source=guides_for_brides,info@birdhills.co.uk,01628771030,,@birdhillsgc,https://guidesforbrides.co.uk/wedding-venues/berkshire/bird-hills-golf-centre/71577,True
De Vere Wokefield Estate Wedding Venue,Berkshire,"Berkshire, Reading",https://www.devere.co.uk/wokefield-estate/weddings/?utm_source=guides_for_brides,,0118 933 4050,Wokefield Estate,@wokefieldweddings,https://guidesforbrides.co.uk/wedding-venues/berkshire/de-vere-wokefield-estate/117216,True
Benham Park,Berkshire,"Berkshire, Newbury",https://benhampark.com?utm_source=guides_for_brides,,,,@benham_park_events,https://guidesforbrides.co.uk/wedding-venues/berkshire/benham-park/165398,True
Crowne Plaza Reading,Berkshire,"Berkshire, Reading",https://www.cpreading.co.uk/wedding-venue-in-wokingham?utm_source=guides_for_brides,reservations@cpreading.co.uk,01189444231,,@crowneplazareadingeast,https://guidesforbrides.co.uk/wedding-venues/berkshire/crowne-plaza-reading/113831,True
Maidenhead Rugby Union Football Club,Berkshire,,,,01628 629663,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/maidenhead-rugby-union-football-club/112037,False
The Mill House Hotel Wedding Venue,Berkshire,,,,01189883124,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/the-mill-house-hotel/52239,False
Queens Arms,Berkshire,,,,01488 648757,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/the-queens-lodge-at-the-queens-arms/157877,False
Castle Hotel Windsor – Wedding Venue,Berkshire,,,,01753851577,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/castle-hotel-windsor/143419,False
Ditton Manor,Berkshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/ditton-manor/158837,False
"Dinton Pastures Country Park, Wedding Venue in Berkshire",Berkshire,,,,01182 378983,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/dinton-pastures-country-park/165325,False
Hungerford Town Hall,Berkshire,,,,01488 686555,,,https://guidesforbrides.co.uk/wedding-venues/berkshire/hungerford-town-hall/13623,False
Burnham Beeches Hotel,Buckinghamshire,"Buckinghamshire, Burnham, Slough",https://burnhambeecheshotel.com/weddings/?utm_source=guides_for_brides,reservations@burnhambeecheshotel.com,01628 429955,,@weddingsatburnhambeeches,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/burnham-beeches-hotel/112301,True
Horwood House Hotel,Buckinghamshire,"Buckinghamshire, Milton Keynes",https://www.horwoodhouse.co.uk/weddings.html?utm_source=guides_for_brides,info@horwoodhouse.co.uk,+44 (0)1296 722100,,@horwoodhouse,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/horwood-house-hotel/94594,True
Villiers Hotel,Buckinghamshire,"Buckinghamshire, Buckingham",https://www.villiers-hotel.co.uk/weddings?utm_source=guides_for_brides,,01280 822444,,@villiershotel,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/villiers-hotel-wedding-venue/69178,True
Denham Grove Wedding Venue,Buckinghamshire,"Buckinghamshire, Uxbridge",https://www.denhamgrove.com/weddings.php?utm_source=guides_for_brides,,01895836932,,@denhamgrovehotel,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/denham-grove/91122,False
Chicheley Hall Wedding Venue,Buckinghamshire,"Buckinghamshire, Milton Keynes",https://chicheleyhall.co.uk/weddings/?utm_source=guides_for_brides,enquiries@chicheleyhall.co.uk,01234 230396,,@chicheley_hall,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/chicheley-hall/118905,True
Crowne Plaza Marlow Wedding Venue,Buckinghamshire,"Buckinghamshire, Marlow",https://www.cpmarlow.co.uk/?utm_source=guides_for_brides,reservations2@cpmarlow.co.uk,01628496818,,@crowneplazamarlow,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/crowne-plaza-marlow/82565,True
Holiday Inn Milton Keynes East Wedding Venue,Buckinghamshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/holiday-inn-milton-keynes-east/112663,False
Stoke Place Wedding Venue,Buckinghamshire,,,,01753560218,,,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/stoke-place/2244,False
Notley Abbey,Buckinghamshire,,,,0345 130 9966,,,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/notley-abbey/81793,False
Quarry Hall Weddings & Events,Buckinghamshire,,,,07986737486,,,https://guidesforbrides.co.uk/wedding-venues/buckinghamshire/quarry-hall-weddings-events/160565,False
Westonbirt House,Gloucestershire,"Gloucestershire, Tetbury",https://www.westonbirthouse.co.uk/weddings/?utm_source=guides+for+brides&utm_medium=listing&utm_campaign=westonbirt_guides_for_brides&utm_id=Guides+for+Brides,events@westonbirt.org,01666881338,,@westonbirthouse,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/westonbirt-house/58916,True
The Barn At Upcote,Gloucestershire,"Gloucestershire, Cheltenham",https://thebarnatupcote.co.uk/weddings-barn-at-upcote-cotswolds/?utm_source=guides_for_brides,enquiries@thebarnatupcote.co.uk,01242890332,,@upcote_barn,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/the-barn-at-upcote/150230,True
De Vere Cotswold Water Park,Gloucestershire,Gloucestershire,https://www.devere.co.uk/cotswold-water-park-hotel/weddings?utm_source=guides_for_brides,,01234567891,,@cotswold_waterpark_weddings,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/de-vere-cotswold-water-park/56778,True
Kingscote Barn,Gloucestershire,"Gloucestershire, Tetbury",https://kingscotebarn.co.uk/?utm_source=guides_for_brides,,01453861161,,@kingscotebarn,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/the-kingscote-barn/85339,True
Badminton Estate,Gloucestershire,"Gloucestershire, Badminton",https://www.badmintonestate.com/historic-wedding-venue-in-cotswolds/?utm_source=guides_for_brides,estateoffice@badmintonestate.com,01454 218203,,@badmintonestate,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/badminton-estate/163905,True
Blackfriars Priory Weddings,Gloucestershire,,,,01452396384,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/blackfriars-priory/156084,False
Pittville Pump Room Wedding Venue,Gloucestershire,,,,01242528764,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/pittville-pump-room/13018,False
Cheltenham Town Hall Wedding Venue,Gloucestershire,,,,01242528764,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/cheltenham-town-hall/58903,False
Gloucester Robinswood Hotel Wedding Venue,Gloucestershire,,,,0330 028 3408,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/gloucester-robinswood-hotel/7309,False
Jenners Barn Weddings,Gloucestershire,,,,07886037224,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/jenners-barn/161652,False
"Coombe End Manor, Wedding Venue in Gloucestershire",Gloucestershire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/coombe-end-manor/165785,False
Abbey Home Farm Wedding Venue,Gloucestershire,,,,01285640441,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/abbey-home-farm/133420,False
Kiftsgate Court,Gloucestershire,,,,01386 438777,,,https://guidesforbrides.co.uk/wedding-venues/gloucestershire/kiftsgate-court/159354,False
Warbrook House,Hampshire,"Hampshire, Fleet",https://warbrookhouse.com/weddings/?utm_source=guides_for_brides,weddings@warbrookhouse.com,01189739750,,@warbrookweddings,https://guidesforbrides.co.uk/wedding-venues/hampshire/warbrook-house/2457,True
The Alton House Hotel,Hampshire,"Hampshire, Alton",https://www.altonhousehotel.com?utm_source=guides_for_brides,reservations@altonhousehotel.com,+44 (0)1420 80033,,@altonhousehotel,https://guidesforbrides.co.uk/wedding-venues/hampshire/alton-house-hotel/20191,True
Oakley Hall Hotel,Hampshire,"Hampshire, Basingstoke",https://www.oakleyhall-park.com/weddings/?utm_source=guides_for_brides,enquiries@oakleyhall-park.com,01256 783350,,@oakleyhallhotel,https://guidesforbrides.co.uk/wedding-venues/hampshire/oakley-hall-hotel/43291,True
Novotel Southampton Wedding Venue,Hampshire,"Hampshire, Southampton",https://all.accor.com/hotel/1073/index.en.shtml?utm_source=guides_for_brides,h1073@accor.com,02380233113,,@all.accor,https://guidesforbrides.co.uk/wedding-venues/hampshire/novotel-southampton/50959,True
Weddings in the wood Wedding Barn,Hampshire,"Hampshire, Lyndhurst",https://www.weddingsinthewood.co.uk/?utm_source=guides_for_brides,simon@weddingsinthewood.co.uk,02380284401,,@weddings_in_the_wood,https://guidesforbrides.co.uk/wedding-venues/hampshire/weddings-in-the-wood/117612,True
Gray Manor Hotel,Hampshire,Wiltshire,http://www.graymanorhotel.co.uk?utm_source=guides_for_brides,,01980629542,,@graymanorhotel,https://guidesforbrides.co.uk/wedding-venues/wiltshire/gray-manor-hotel/143756,False
Pamber Place Gardens Wedding Venue,Hampshire,"Hampshire, Basingstoke",https://pamberplace.com/?utm_source=guides_for_brides,enquiries@pamberplace.com,01256850934,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/pamber-place-gardens/58689,True
Lainston House Wedding Venue,Hampshire,,,,01962797824,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/lainston-house/54705,False
Old Thorns Hotel & Resort,Hampshire,,,,01428 738510,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/old-thorns-hotel-resort/74697,False
DoubleTree by Hilton Southampton Wedding Venue,Hampshire,,,,02380702700,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/doubletree-by-hilton-southampton/77936,False
Holiday Inn Portsmouth Wedding Venue,Hampshire,,,,08719429065,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/holiday-inn-portsmouth/123323,False
Langstone Quays Resort,Hampshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/langstone-quays-resort/77934,False
Best Western Chilworth Manor Wedding Venue,Hampshire,,,,02380763030,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/best-western-chilworth-manor/77536,False
The Grand,Hampshire,,,,02380339303,,,https://guidesforbrides.co.uk/wedding-venues/hampshire/the-grand/161091,False
Gorse Hill,Surrey,"Surrey, Woking",https://www.gorsehillsurrey.com/weddings?utm_source=guides_for_brides,,01483747444,,@weddingsatgorsehill,https://guidesforbrides.co.uk/wedding-venues/surrey/gorse-hill/91400,True
Farnham Castle,Surrey,"Surrey, Farnham",https://www.farnhamcastle.com/weddings/?utm_source=guides_for_brides,,01252 720402,,@farnhamcastle_,https://guidesforbrides.co.uk/wedding-venues/surrey/farnham-castle/119820,False
Woldingham Golf Club,Surrey,"Surrey, Caterham",https://woldinghamgc.co.uk/weddings/?utm_source=guides_for_brides,info@woldinghamgc.co.uk,01883653501,,@woldinghamgc,https://guidesforbrides.co.uk/wedding-venues/surrey/woldingham-golf-club/62383,True
Hampton Court House Wedding Venue,Surrey,"Surrey, East Molesey",https://degevents.com/hampton-court-house/weddings/?utm_source=guides_for_brides,,0208 614 0860,,@hch.events,https://guidesforbrides.co.uk/wedding-venues/surrey/hampton-court-house/81990,True
The Soper Hall,Surrey,"Surrey, Caterham",https://www.soperhall.org.uk/weddings/?utm_source=guides_for_brides,admin@soperhall.org.uk,01883340678,,@soperhallcaterham,https://guidesforbrides.co.uk/wedding-venues/surrey/the-soper-hall/160014,True
High Billinghurst Farm,Surrey,"Surrey, Godalming",https://www.highbillinghurstfarm.com?utm_source=guides_for_brides,hbf@highbillinghurstfarm.com,07712185977,,@highbillinghurstfarm,https://guidesforbrides.co.uk/wedding-venues/surrey/high-billinghurst-farm/162628,True
Oatlands Park Hotel Wedding Venue,Surrey,"Surrey, Weybridge",https://www.oatlandsparkhotel.com/weddings?utm_source=guides_for_brides,weddings@oatlandsparkhotel.com,01932847242,,@oatlands_park_hotel,https://guidesforbrides.co.uk/wedding-venues/surrey/oatlands-park-hotel/62139,True
Burrows Lea Country House,Surrey,,,,01483 375789,,,https://guidesforbrides.co.uk/wedding-venues/surrey/burrows-lea-country-house/88097,False
Imber Court  Wedding Venue,Surrey,,,,02083981267,,,https://guidesforbrides.co.uk/wedding-venues/surrey/imber-court/128627,False
Weddings at Painshill,Surrey,,,,01932 868113,,,https://guidesforbrides.co.uk/wedding-venues/surrey/weddings-at-painshill/147740,False
Wotton House Wedding Venue,Surrey,,,,01306730000,,,https://guidesforbrides.co.uk/wedding-venues/surrey/wotton-house/74092,False
Stanhill Court Hotel Wedding Venue,Surrey,,,,01293862166,,,https://guidesforbrides.co.uk/wedding-venues/surrey/stanhill-court-hotel/112863,False
Botleys Mansion,Surrey,,,,0345 130 9966,,,https://guidesforbrides.co.uk/wedding-venues/surrey/botleys-mansion/75242,False
"Holmbury St. Mary Village Hall, Wedding Venue in Surrey",Surrey,,,,,,,https://guidesforbrides.co.uk/wedding-venues/surrey/holmbury-st-mary-village-hall/165569,False
Lingfield Park Wedding Venue,Surrey,,,,01342834800,,,https://guidesforbrides.co.uk/wedding-venues/surrey/lingfield-park/7522,False
The Mandolay Hotel Wedding Venue,Surrey,,,,01483 375006,,,https://guidesforbrides.co.uk/wedding-venues/surrey/the-mandolay-hotel/69217,False
"Farleigh Golf Club, Countryside Wedding Venue",Surrey,,,,01883627711,,,https://guidesforbrides.co.uk/wedding-venues/surrey/farleigh-golf-club/93971,False
Ewell Court House Wedding Venue,Surrey,,,,02087867392,,,https://guidesforbrides.co.uk/wedding-venues/surrey/ewell-court-house/143820,False
The Garden Gallery,Surrey,,,,,,,https://guidesforbrides.co.uk/wedding-venues/surrey/the-garden-gallery/159866,False
Hunton Park Hotel,Hertfordshire,"Hertfordshire, Kings Langley",https://huntonparkhotel.co.uk/wedding-venue/?utm_source=guides_for_brides,info@gotoevents.co.uk,01923277708,,@huntonparkhotel,https://guidesforbrides.co.uk/wedding-venues/hertfordshire/hunton-park/74847,True
Sopwell House,Hertfordshire,"Hertfordshire, St Albans",https://sopwellhouse.co.uk/celebrate/?utm_source=guides_for_brides,enquiries@sopwellhouse.co.uk,01727 750466,,@sopwellhouseweddings,https://guidesforbrides.co.uk/wedding-venues/hertfordshire/sopwell-house/85398,True
Knebworth House & Barns Wedding Venue,Hertfordshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/hertfordshire/knebworth-house-barns/10717,False
The Manor Elstree Wedding Venue,Hertfordshire,,,,0208 327 4700,,,https://guidesforbrides.co.uk/wedding-venues/hertfordshire/the-manor-elstree/93223,False
Doubletree by Hilton London Elstree,Hertfordshire,,,,0208 214 9988,,,https://guidesforbrides.co.uk/wedding-venues/hertfordshire/doubletree-by-hilton-london-elstree/57129,False
Hatfield House Wedding Venue,Hertfordshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/hertfordshire/hatfield-house/121367,False
Orchardleigh House,Wiltshire,"Bristol and Somerset, Frome",https://www.orchardleigh.net?utm_source=guides_for_brides,info@orchardleigh.net,01373 472550,,@orchardleigh_estate,https://guidesforbrides.co.uk/wedding-venues/bristol-and-somerset/orchardleigh-house-estate/50905,True
Elmhay Park,Wiltshire,"Bristol and Somerset, Frome",https://www.elmhaypark.co.uk/?utm_source=guides_for_brides,info@elmhaypark.co.uk,01373472550,,@elmhaypark_orchardleigh,https://guidesforbrides.co.uk/wedding-venues/bristol-and-somerset/elmhay-park/135982,True
Temple of Apollo Stourhead Wedding Venue,Wiltshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/wiltshire/temple-of-apollo-stourhead/111700,False
Euridge Manor Luxury Weddings,Wiltshire,,,,01225745813,,,https://guidesforbrides.co.uk/wedding-venues/wiltshire/euridge-manor/155449,False
"National Trust Mompesson, Wedding Venue in Wiltshire",Wiltshire,,,,01747841152,,,https://guidesforbrides.co.uk/wedding-venues/wiltshire/national-trust-mompesson-house/165092,False
Fonthill Estate Country Weddings,Wiltshire,,,,07958968798,,,https://guidesforbrides.co.uk/wedding-venues/wiltshire/fonthill-estate/160225,False
The Manor House Golf Club,Wiltshire,,,,01249 475812,,,https://guidesforbrides.co.uk/wedding-venues/wiltshire/the-manor-house-golf-club/125652,False
"The Woods at Oakley, Wedding Venue in Wiltshire",Wiltshire,,,,07568137617,,,https://guidesforbrides.co.uk/wedding-venues/wiltshire/the-woods-at-oakley/164714,False
