venue_name,website,email,phone,contact_name,contact_role,classification,county,score,source
Histon Manor,https://www.histonmanor.com,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
Swynford Manor,https://www.swynfordmanor.co.uk,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
Bassmead Manor Barns,https://www.bassmeadmanorbarns.co.uk,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
Waresley Park Estate,https://www.waresleypark.co.uk,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
The Manor Barn,,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
Mill Farm,,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
South Farm,https://www.south-farm.co.uk,info@south-farm.co.uk,01223 207581,,,DRY_HIRE,Cambridgeshire,0,"enriched_leads_2026-03-20,enriched_venues,contact_finder_2026-03-20"
Childerley Hall,https://www.childerley.com,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
Chippenham Park,https://www.chippenhampark.com,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
Longstowe Hall,https://www.longstowehall.co.uk,,,,,DRY_HIRE,Cambridgeshire,0,enriched_leads_2026-03-20
The Old Hall Ely,https://www.theoldhallely.co.uk,,,,,DRY_HIRE,Cambridgeshire,0,"enriched_leads_2026-03-20,enriched_venues"
Norfolk Garden Weddings,https://norfolkgardenweddings.co.uk,,,,,DRY_HIRE,Norfolk,0,enriched_leads_2026-03-20
Chaucer Barn,https://www.chaucerbarn.com,,,,,DRY_HIRE,Norfolk,0,"enriched_leads_2026-03-20,enriched_venues"
Voewood,https://www.voewood.com,,,,,DRY_HIRE,Norfolk,0,enriched_leads_2026-03-20
The Granary Estates,https://www.thegranaryestates.co.uk,info@thegranaryestates.co.uk,012870476407,Joely Allard,Weddings and Events Sales Manager,DRY_HIRE,Norfolk,0,"enriched_leads_2026-03-20,enriched_venues,contact_finder_2026-03-20"
Oxnead Hall,https://www.oxneadhall.com,,,,,DRY_HIRE,Norfolk,0,enriched_leads_2026-03-20
Godwick Hall,https://www.godwickhall.co.uk,info@godwickhall.co.uk,01328 701948,,Wedding Planner Team,DRY_HIRE,Norfolk,0,"enriched_leads_2026-03-20,enriched_venues,contact_finder_2026-03-20"
Elms Barn,https://www.elmsbarn.co.uk,,,,,DRY_HIRE,Norfolk,0,enriched_leads_2026-03-20
Bressingham Hall,https://www.bressinghamhall.com,,,,,DRY_HIRE,Norfolk,0,enriched_leads_2026-03-20
Thursford Garden Pavilion,https://www.thursford.com,,,,,DRY_HIRE,Norfolk,0,enriched_leads_2026-03-20
Rookery Meadow,https://www.rookerymeadow.co.uk,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Copdock Hall,https://copdockhall.com,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Henham Barns,https://www.henhambarns.co.uk,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
The Anchor Walberswick,https://human-nature.events/secret-venues/the-anchor/,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Glemham Hall,https://www.glemhamhall.co.uk,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Smeetham Hall Barn,https://www.smeethamhallbarn.co.uk,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Haughley Park Barn,https://www.haughleyparkbarn.co.uk,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Helmingham Hall,https://www.helmingham.com,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Suffolk Barns at Hasketon,,,,,,DRY_HIRE,Suffolk,0,enriched_leads_2026-03-20
Elmhay Park,https://www.elmhaypark.co.uk,info@elmhaypark.co.uk,01373472550,,,DRY_HIRE,Somerset,0,"enriched_leads_2026-03-20,hht_dryhire_leads_csv"
Pennard Hill Farm,https://www.pennard.com,,,,,DRY_HIRE,Somerset,0,enriched_leads_2026-03-20
St Audries Park,https://www.staudriespark.co.uk,,,,,DRY_HIRE,Somerset,0,enriched_leads_2026-03-20
The Cider Barn at Cheddar,,,,,,DRY_HIRE,Somerset,0,enriched_leads_2026-03-20
Quantock Lakes,https://www.quantocklakes.co.uk,hello@quantockevents.co.uk,01278733202,Sarah,Wedding Coordinator,DRY_HIRE,Somerset,0,"enriched_leads_2026-03-20,enriched_venues,contact_finder_2026-03-20"
Maunsel House,https://www.maunselhouse.co.uk,,,,,DRY_HIRE,Somerset,0,enriched_leads_2026-03-20
Barley Wood Walled Garden,https://www.barleywood.co.uk,,,,,DRY_HIRE,Somerset,0,enriched_leads_2026-03-20
Hale Park,https://www.halepark.co.uk,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Tithe Barn Hinton St Mary,,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Deans Court,https://www.deanscourt.org,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Mapperton,https://www.mapperton.com,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Sopley Lake,https://www.sopleylake.co.uk,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Smedmore House,https://www.smedmorehouse.co.uk,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Plush Manor,https://www.plushmanor.co.uk,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Kingston Country Courtyard,https://www.kingstoncountrycourtyard.co.uk,enquiries@kingstoncountrycourtyard.com,01929 481066,,,DRY_HIRE,Dorset,0,"enriched_leads_2026-03-20,enriched_venues,contact_finder_2026-03-20"
Sculpture by the Lakes,https://www.sculpturebythelakes.co.uk,,,,,DRY_HIRE,Dorset,0,enriched_leads_2026-03-20
Huntsham Court,https://www.huntshamcourt.co.uk,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
Pirzwell Barn,https://www.pirzwellbarn.co.uk,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
The Great Barn Devon,https://www.thegreatbarndevon.co.uk,,,,,DRY_HIRE,Devon,0,"enriched_leads_2026-03-20,enriched_venues"
Rockbeare Manor,https://www.rockbearemanor.co.uk,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
Bickleigh Castle,https://www.bickleighcastle.com,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
Shilstone House,https://www.shilstone.co.uk,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
Upton Barn & Walled Garden,https://www.uptonbarn.co.uk,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
Ash Barton Estate,https://www.ashbarton.co.uk,,,,,DRY_HIRE,Devon,0,enriched_leads_2026-03-20
Hadsham Farm,https://www.hadshamfarm.co.uk,,,,,DRY_HIRE,Warwickshire,0,enriched_leads_2026-03-20
Alveston Pastures Farm,https://www.alvestonpasturesfarm.co.uk,,,,,DRY_HIRE,Warwickshire,0,enriched_leads_2026-03-20
Park Farm,https://www.parkfarmweddings.co.uk,,,,,DRY_HIRE,Warwickshire,0,enriched_leads_2026-03-20
Wootton Park,https://www.woottonparkweddings.co.uk,,,,,DRY_HIRE,Warwickshire,0,"enriched_leads_2026-03-20,enriched_venues"
Wroxall Abbey Estate,https://www.wroxallabbeyestate.co.uk,,,,,DRY_HIRE,Warwickshire,0,enriched_leads_2026-03-20
Shustoke Farm Barns,https://www.shustokefarmbarns.co.uk,,,,,DRY_HIRE,Warwickshire,0,enriched_leads_2026-03-20
Westenhanger Castle,https://www.westenhangercastle.co.uk,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
The Orangery Maidstone,https://www.theorangerymaidstone.com,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
Kent Event Centre,https://www.kenteventcentre.co.uk,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
The Barn at Bore Place,https://www.boreplace.org,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
Cooling Castle Barn,https://www.coolingcastlebarn.com,office@coolingcastlebarn.com,005347593583,,,DRY_HIRE,Kent,0,"enriched_leads_2026-03-20,enriched_venues"
The Hop Farm,https://www.thehopfarm.co.uk,,,,,DRY_HIRE,Kent,0,"enriched_leads_2026-03-20,enriched_venues"
Hadlow Manor,https://www.hadlowmanor.co.uk,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
Knowle Country House,https://www.knowlecountryhouse.co.uk,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
The Underglobe,https://www.shakespearesglobe.com/your-event,,,,,DRY_HIRE,London,0,enriched_leads_2026-03-20
The Brewery London,https://www.thebrewery.co.uk,,,,,DRY_HIRE,London,0,enriched_leads_2026-03-20
Tobacco Dock,https://www.tobaccodocklondon.com,,,,,DRY_HIRE,London,0,"enriched_leads_2026-03-20,enriched_venues"
Banqueting House,https://www.hrp.org.uk/banqueting-house,,,,,DRY_HIRE,London,0,"enriched_leads_2026-03-20,enriched_venues"
The Spitfire Ground,https://www.spitfireground.co.uk,,,,,DRY_HIRE,Kent,0,enriched_leads_2026-03-20
Edgbaston Stadium,https://edgbaston.com,,,,,DRY_HIRE,Birmingham,0,enriched_leads_2026-03-20
Tanner Warehouse,https://www.tannerwarehouse.co.uk/,events@tannerwarehouse.co.uk,+442073570244,,,DRY_HIRE,Greater London,0,enriched_venues
Merriscourt,https://www.merriscourt.com/,,,,,DRY_HIRE,Oxfordshire,0,enriched_venues
Blackthorpe Barn,https://www.weddingsatblackthorpebarn.co.uk/,weddings@foragekitchen.co.uk,003591170715,,,DRY_HIRE,Suffolk,0,enriched_venues
Winters Barns,https://www.winters-barns.co.uk/,,01227 472581,,,DRY_HIRE,Kent,0,enriched_venues
High House,https://www.highhouseweddings.com/,info@highhouseweddings.com,01621 929178,,Events Team,DRY_HIRE,Essex,0,"enriched_venues,contact_finder_2026-03-20"
Colville Hall,https://colvillehallwedding.co.uk/,info@colvillehall.co.uk,01462 420751,Karen,Head Wedding Coordinator,DRY_HIRE,Essex,0,"enriched_venues,contact_finder_2026-03-20"
Rackleys,https://rackleys.co.uk/,hello@rackleys.co.uk,01494 412515,,Wedding Event Manager,DRY_HIRE,Buckinghamshire,0,"enriched_venues,contact_finder_2026-03-20"
Winters Tale Country Barn,https://winterstalecountrybarn.co.uk/,info@winterstalecountrybarn.co.uk,01296 738040,William,Bar & Event Manager,DRY_HIRE,Buckinghamshire,0,"enriched_venues,contact_finder_2026-03-20"
Sheepdrove,https://sheepdrove.com/,farm@sheepdrove.com,001678291968,,,DRY_HIRE,Berkshire,0,enriched_venues
Upwaltham Barns,https://upwalthambarns-weddings.co.uk/,weddings@upwalthambarns.co.uk,01798 300242,,,DRY_HIRE,West Sussex,0,enriched_venues
Pangdean Barn,https://www.pangdean.com/,office@pangdean.com,01273 843302,,,DRY_HIRE,East Sussex,0,enriched_venues
Caswell House,https://caswellhouse.co.uk/,events@caswellhouse.co.uk,,,,DRY_HIRE,Oxfordshire,0,enriched_venues
Primrose Hill Farm,https://primrose-hill-farm.com/,play@primrose-hill-farm.com,00950632381,,,DRY_HIRE,Oxfordshire,0,enriched_venues
Lains Barn,https://lainsbarn.co.uk/,events@lainsbarn.co.uk,07771 511653,,,DRY_HIRE,Oxfordshire,0,enriched_venues
Dovecote Events,https://www.dovecoteevents.uk/,info@dovecoteevents.uk,01295 816566,,,DRY_HIRE,Oxfordshire,0,"enriched_venues,contact_finder_2026-03-20"
The Great Tythe Barn,https://www.gtb.co.uk/,events@gtb.co.uk,01666 502475,,,DRY_HIRE,Gloucestershire,0,enriched_venues
Priston Mill,https://www.pristonmill.co.uk/,hello@pristonmill.co.uk,01225 423894,Clara,Senior Event Manager,DRY_HIRE,Somerset,0,"enriched_venues,contact_finder_2026-03-20"
Waterside Country Barn,https://watersidecountrybarn.com/,hello@watersidecountrybarn.co.uk,+44 7597 707505,,,DRY_HIRE,Somerset,0,"enriched_venues,contact_finder_2026-03-20"
Upton Barn,https://www.uptonbarn.com/,info@uptonbarn.com,004077571312,,,DRY_HIRE,Devon,0,"enriched_venues,contact_finder_2026-03-20"
Dodford Manor,https://www.dodfordmanor-venue.co.uk/,enquiries@dodfordmanor-venue.co.uk,01327 349761,,General Manager,DRY_HIRE,Northamptonshire,0,"enriched_venues,contact_finder_2026-03-20"
Dodmoor House,https://www.dodmoorhouse.co.uk/,,,,,DRY_HIRE,Northamptonshire,0,enriched_venues
Chilford Hall,https://www.chilfordhall.co.uk/,events@the-garden-rooms.co.uk,,,,DRY_HIRE,Cambridgeshire,0,enriched_venues
Gaynes Park,https://gaynespark.co.uk/,gaynespark@wedding-venues.co.uk,01992 660329,,,DRY_HIRE,Essex,0,enriched_venues
Cripps Barn,https://crippsandco.com/cripps-barn,enquiries@crippsandco.com,+44 1285 721909,,,DRY_HIRE,Gloucestershire,0,"enriched_venues,contact_finder_2026-03-20"
Notley Tythe Barn,https://www.notleyfarm.co.uk/,weddings@notleyfarm.co.uk,01844 201226,,,DRY_HIRE,Buckinghamshire,0,enriched_venues
Manor by the Lake,https://www.manorbythelake.co.uk/,events@manorbythelake.co.uk,01242 245071,,,DRY_HIRE,Gloucestershire,0,enriched_venues
Stone Barn,https://crippsandco.com/stone-barn,enquiries@crippsandco.com,+441285721909,,,DRY_HIRE,Gloucestershire,0,"enriched_venues,contact_finder_2026-03-20"
Childerley Long Barn,https://www.childerley.org/,,,,,DRY_HIRE,Cambridgeshire,0,enriched_venues
The Compasses at Pattiswick,https://compassesweddings.co.uk/,info@thecompassesatpattiswick.co.uk,01376 561322,Jane Clark,Owner,DRY_HIRE,Essex,0,"enriched_venues,contact_finder_2026-03-20"
Spinney Abbey,https://www.spinneystays.com/,,+4407445038728,,,DRY_HIRE,Cambridgeshire,0,enriched_venues
Gate Street Barn,https://gatestreet.co.uk/,info@gatestreet.co.uk,01483 894362,Annabel Kent,Senior Event Manager,DRY_HIRE,Surrey,0,"enriched_venues,contact_finder_2026-03-20"
Millbridge Court,https://www.millbridgecourt.co.uk/,hello@millbridgecourt.co.uk,01252 792572,,,DRY_HIRE,Surrey,0,enriched_venues
Old Brook Barn,https://oldbrookbarn.co.uk/,info@oldbrookbarn.co.uk,07747 116100,Lisa Forkes,"Co Owner, Director and main Events Manager.",DRY_HIRE,Essex,0,"enriched_venues,contact_finder_2026-03-20"
The Barn at Alswick,https://www.alswick.co.uk/,info@alswick.co.uk,00915601228,,,DRY_HIRE,Hertfordshire,0,"enriched_venues,contact_finder_2026-03-20"
Huntsmill Farm,https://huntsmillweddings.co.uk/,info@huntsmill.com,01280 704852,,,DRY_HIRE,Buckinghamshire,0,enriched_venues
The Post at Burghfield,https://www.thepostbarn.co.uk/,info@thepostbarn.co.uk,01635 881800,,,DRY_HIRE,Berkshire,0,"enriched_venues,contact_finder_2026-03-20"
Selden Barns,https://seldenbarns.co.uk/,enquiries@seldenbarns.co.uk,01903 372990,,,DRY_HIRE,West Sussex,0,"enriched_venues,contact_finder_2026-03-20"
Stratton Court Barn,https://www.strattoncourtbarn.co.uk/,enquiries@strattoncourtbarn.co.uk,01869 278899,,,DRY_HIRE,Oxfordshire,0,enriched_venues
Hyde House,https://hyde-house.uk/,hello@hyde-house.uk,+447447753176,,,DRY_HIRE,Gloucestershire,0,enriched_venues
Bredon Manor,https://www.bredonmanor.com,info@bredonmanor.com,01684 773432,,,DRY_HIRE,Gloucestershire,0,"enriched_venues,contact_finder_2026-03-20"
Barn at Upcote,https://thebarnatupcote.co.uk/,enquiries@thebarnatupcote.co.uk,01242890332,,,DRY_HIRE,Gloucestershire,0,"enriched_venues,contact_finder_2026-03-20,hht_dryhire_leads_csv"
Cleeve House,https://cleeve-house.com/,info@cleeve-house.com,01380 827129,,,DRY_HIRE,Wiltshire,0,enriched_venues
Almonry Barn,https://almonrybarnsomerset.com/,enquiries@almonrybarnsomerset.com,07879 890145,,,DRY_HIRE,Somerset,0,enriched_venues
Manor Mews,,,,,,DRY_HIRE,Norfolk,0,enriched_venues
Pentney Abbey,,,,,,DRY_HIRE,Norfolk,0,enriched_venues
Suffolk Barn at Hawstead Place,,,,,,DRY_HIRE,Suffolk,0,enriched_venues
Sissons Barn,,,,,,DRY_HIRE,Cambridgeshire,0,enriched_venues
Willow Grange Farm,,,,,,DRY_HIRE,Cambridgeshire,0,enriched_venues
Swallows Nest Barn,,,,,,DRY_HIRE,Warwickshire,0,enriched_venues
Longbourn Estate Barn,,,,,,DRY_HIRE,Warwickshire,0,enriched_venues
Meadow Barn at Stratford Park,,,,,,DRY_HIRE,Warwickshire,0,enriched_venues
Barns and Yards,,,,,,DRY_HIRE,Worcestershire,0,enriched_venues
Bredenbury Court Barns,,,,,,DRY_HIRE,Herefordshire,0,enriched_venues
Wood Farm Everdon,,,,,,DRY_HIRE,Northamptonshire,0,enriched_venues
The Great Barn Aynho,,,,,,DRY_HIRE,Northamptonshire,0,enriched_venues
The Old Kent Barn,,,,,,DRY_HIRE,Kent,0,enriched_venues
Rivervale Barn,,,,,,DRY_HIRE,Hampshire,0,enriched_venues
Launcells Barton,,,,,,DRY_HIRE,Cornwall,0,enriched_venues
Curradine Barns,,,,,,DRY_HIRE,Worcestershire,0,enriched_venues
Nancarrow Farm,,,,,,DRY_HIRE,Cornwall,0,enriched_venues
The Oak Barn,,,,,,DRY_HIRE,Devon,0,enriched_venues
Battleswick Farm,,,,,,DRY_HIRE,Essex,0,enriched_venues
South Stoke Barn,,,,,,DRY_HIRE,West Sussex,0,enriched_venues
Brickhouse Vineyard,,,,,,DRY_HIRE,Devon,0,enriched_venues
Rhyse Farm,,,,,,DRY_HIRE,Worcestershire,0,enriched_venues
Blake Hall,,,,,,DRY_HIRE,Essex,0,enriched_venues
The Priory Barn,,,,,,DRY_HIRE,Hertfordshire,0,enriched_venues
Trevenna,,,,,,DRY_HIRE,Cornwall,0,enriched_venues
Trinity Buoy Wharf,https://trinitybuoywharf.com,events@trinitybuoywharf.com,,,,DRY_HIRE,Greater London,0,"enriched_venues,enriched_leads_2026-03-19"
Wotton House,,,01306730000,,,DRY_HIRE,Surrey,0,"enriched_venues,hht_dryhire_leads_csv"
Parkland Weddings,https://cokethorpe-enterprises.co.uk/weddings/?utm_source=guides_for_brides,,01993892338,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Cold Harbour Barn,,,,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Silver Pear Weddings at Friars Court,,,01367810206,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
The Barn Didcot,,,01235 210563,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Laurel Farm Events,,,07471636622,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
The Castle at Edgehill,,,01295 670255,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
The Vines Hotel,,,01473 597897,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Acorn Barn,,,01865 891663,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Foxcombe Hall,,,07753 876253,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Snells Hall,,,01235833561,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
The Barn at Stone Hill,,,07888 754373,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Bicester Hotel Resort,,,01869241204,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Dovecote Barn Events,,,01295816566,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
The Long Gallery,,,07513 619034,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Cogges Manor Farm,,,01993 670493,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Village Hall Aston,,,,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
The Theatre Chipping Norton,,,,,,DRY_HIRE,Oxfordshire,0,hht_dryhire_leads_csv
Trunkwell House,https://trunkwell.com/weddings/?utm_source=guides_for_brides,info@trunkwell.com,01189883754,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
The Old Mill,https://www.theoldmillaldermaston.co.uk/weddings?utm_source=guides_for_brides,enquiries@theoldmillaldermaston.co.uk,01189712365,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Highfield Park,https://www.highfieldpark.com/weddings?utm_source=guides_for_brides,,01235 770078,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
The Coach House Barn at Dorney Court,https://dorneycourt.co.uk/weddings/?utm_source=guides_for_brides,events@dorneycourt.co.uk,01628604638,Your Wedding,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
The Post Barn,https://www.thepostbarn.co.uk/?utm_source=guides_for_brides,info@thepostbarn.co.uk,01635 881800,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Bird Hills Golf Centre Wedding Venue,https://birdhills.co.uk/weddings?utm_source=guides_for_brides,info@birdhills.co.uk,01628771030,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
De Vere Wokefield Estate Wedding Venue,https://www.devere.co.uk/wokefield-estate/weddings/?utm_source=guides_for_brides,,0118 933 4050,Wokefield Estate,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Benham Park,https://benhampark.com?utm_source=guides_for_brides,,,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Crowne Plaza Reading,https://www.cpreading.co.uk/wedding-venue-in-wokingham?utm_source=guides_for_brides,reservations@cpreading.co.uk,01189444231,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Maidenhead Rugby Union Football Club,,,01628 629663,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
The Mill House Hotel Wedding Venue,,,01189883124,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Queens Arms,,,01488 648757,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Castle Hotel Windsor – Wedding Venue,,,01753851577,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Ditton Manor,,,,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
"Dinton Pastures Country Park, Wedding Venue in Berkshire",,,01182 378983,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Hungerford Town Hall,,,01488 686555,,,DRY_HIRE,Berkshire,0,hht_dryhire_leads_csv
Burnham Beeches Hotel,https://burnhambeecheshotel.com/weddings/?utm_source=guides_for_brides,reservations@burnhambeecheshotel.com,01628 429955,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Horwood House Hotel,https://www.horwoodhouse.co.uk/weddings.html?utm_source=guides_for_brides,info@horwoodhouse.co.uk,+44 (0)1296 722100,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Villiers Hotel,https://www.villiers-hotel.co.uk/weddings?utm_source=guides_for_brides,,01280 822444,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Denham Grove Wedding Venue,https://www.denhamgrove.com/weddings.php?utm_source=guides_for_brides,,01895836932,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Chicheley Hall Wedding Venue,https://chicheleyhall.co.uk/weddings/?utm_source=guides_for_brides,enquiries@chicheleyhall.co.uk,01234 230396,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Crowne Plaza Marlow Wedding Venue,https://www.cpmarlow.co.uk/?utm_source=guides_for_brides,reservations2@cpmarlow.co.uk,01628496818,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Holiday Inn Milton Keynes East Wedding Venue,,,,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Stoke Place Wedding Venue,,,01753560218,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Notley Abbey,,,0345 130 9966,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Quarry Hall Weddings & Events,,,07986737486,,,DRY_HIRE,Buckinghamshire,0,hht_dryhire_leads_csv
Westonbirt House,https://www.westonbirthouse.co.uk/weddings/?utm_source=guides+for+brides&utm_medium=listing&utm_campaign=westonbirt_guides_for_brides&utm_id=Guides+for+Brides,events@westonbirt.org,01666881338,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
De Vere Cotswold Water Park,https://www.devere.co.uk/cotswold-water-park-hotel/weddings?utm_source=guides_for_brides,,01234567891,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
Kingscote Barn,https://kingscotebarn.co.uk/?utm_source=guides_for_brides,,01453861161,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
Badminton Estate,https://www.badmintonestate.com/historic-wedding-venue-in-cotswolds/?utm_source=guides_for_brides,estateoffice@badmintonestate.com,01454 218203,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
Blackfriars Priory Weddings,,,01452396384,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
Pittville Pump Room Wedding Venue,,,01242528764,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
Cheltenham Town Hall Wedding Venue,,,01242528764,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
Gloucester Robinswood Hotel Wedding Venue,,,0330 028 3408,,,DRY_HIRE,Gloucestershire,0,hht_dryhire_leads_csv
