name,county,category,classification,capacity,website,email,phone,instagram,facebook,has_events_section,score,tier,enrichment_date,source
Quantock Lakes,Somerset,Barn Venue,DRY_HIRE,250,https://www.quantocklakes.com,hello@quantockevents.co.uk,01278733202,instagram.com/quantocklakesuk,facebook.com/2008,True,85,CALL_NOW,2026-03-20,enriched
Priston Mill,Somerset,Barn Venue,DRY_HIRE,200,https://www.pristonmill.co.uk/,hello@pristonmill.co.uk,01225 423894,instagram.com/pristonmill,facebook.com/pristonmill,True,85,CALL_NOW,2026-03-20,enriched
Waterside Country Barn,Somerset,Barn Venue,DRY_HIRE,200,https://watersidecountrybarn.com/,hello@watersidecountrybarn.co.uk,+44 7597 707505,instagram.com/waterside_country_barn,facebook.com/WatersideCountryBarn,True,85,CALL_NOW,2026-03-20,enriched
Dodford Manor,Northamptonshire,Barn Venue,DRY_HIRE,200,https://www.dodfordmanor-venue.co.uk/,hello@dodfordmanor-venue.co.uk,01327 349761,instagram.com/dodford_manor,facebook.com/Dodford,True,85,CALL_NOW,2026-03-20,enriched
Cooling Castle Barn,Kent,Barn Venue,DRY_HIRE,200,https://www.coolingcastlebarn.com/,office@coolingcastlebarn.com,005347593583,instagram.com/coolingcastlebarn,facebook.com/2008,True,85,CALL_NOW,2026-03-20,enriched
Gaynes Park,Essex,Barn Venue,DRY_HIRE,200,https://gaynespark.co.uk/,gaynespark@wedding-venues.co.uk,01992 660329,instagram.com/gaynespark,facebook.com/pages,True,85,CALL_NOW,2026-03-20,enriched
Gate Street Barn,Surrey,Barn Venue,DRY_HIRE,150,https://gatestreet.co.uk/,info@gatestreet.co.uk,01483 894362,instagram.com/gatestreetvenue,facebook.com/gatestreetvenue,True,80,CALL_NOW,2026-03-20,enriched
High House,Essex,Barn Venue,DRY_HIRE,200,https://www.highhouseweddings.com/,info@highhouseweddings.com,01621 929178,instagram.com/highhouseweddings,facebook.com/highhouseweddings,True,80,CALL_NOW,2026-03-20,enriched
Colville Hall,Essex,Barn Venue,DRY_HIRE,200,https://colvillehallwedding.co.uk/,info@colvillehall.co.uk,01462 420751,instagram.com/colvillehall,facebook.com/colvillehallweddingvenue,True,80,CALL_NOW,2026-03-20,enriched
Old Brook Barn,Essex,Barn Venue,DRY_HIRE,150,https://oldbrookbarn.co.uk/,info@oldbrookbarn.co.uk,07747 116100,instagram.com/oldbrookbarn,facebook.com/OldBrookBarn,True,80,CALL_NOW,2026-03-20,enriched
The Barn at Alswick,Hertfordshire,Barn Venue,DRY_HIRE,150,https://www.alswick.co.uk/,info@alswick.co.uk,00915601228,instagram.com/thebarnatalswick,facebook.com/thebarnatalswick,True,80,CALL_NOW,2026-03-20,enriched
Winters Tale Country Barn,Buckinghamshire,Barn Venue,DRY_HIRE,200,https://winterstalecountrybarn.co.uk/,info@winterstalecountrybarn.co.uk,01296 738040,instagram.com/winterstalecountrybarn,facebook.com/winterstalecountrybarn,True,80,CALL_NOW,2026-03-20,enriched
The Post at Burghfield,Berkshire,Country Estate,DRY_HIRE,150,https://www.thepostbarn.co.uk/,info@thepostbarn.co.uk,01635 881800,instagram.com/thepostbarnberkshire,facebook.com/thepostbarn,True,80,CALL_NOW,2026-03-20,enriched
Selden Barns,West Sussex,Barn Venue,DRY_HIRE,150,https://seldenbarns.co.uk/,enquiries@seldenbarns.co.uk,01903 372990,instagram.com/seldenbarns,facebook.com/SeldenBarns,True,80,CALL_NOW,2026-03-20,enriched
Pangdean Barn,East Sussex,Barn Venue,DRY_HIRE,200,https://www.pangdean.com/,office@pangdean.com,01273 843302,,,True,80,CALL_NOW,2026-03-20,enriched
Dovecote Events,Oxfordshire,Barn Venue,DRY_HIRE,200,https://www.dovecoteevents.uk/,info@dovecoteevents.uk,01295 816566,instagram.com/dovecoteevents,facebook.com/DovecoteEvents,True,80,CALL_NOW,2026-03-20,enriched
Stone Barn,Gloucestershire,Barn Venue,DRY_HIRE,180,https://crippsandco.com/stone-barn,enquiries@crippsstonebarn.com,+441285721909,instagram.com/crippsandco,facebook.com/crippsandco,True,80,CALL_NOW,2026-03-20,enriched
Bredon Manor,Gloucestershire,Country Estate,DRY_HIRE,150,https://www.bredonmanor.com,info@bredonmanor.com,01684 773432,instagram.com/bredonmanor,facebook.com/bredonmanor,True,80,CALL_NOW,2026-03-20,enriched
Barn at Upcote,Gloucestershire,Barn Venue,DRY_HIRE,150,https://thebarnatupcote.co.uk/,enquiries@thebarnatupcote.co.uk,01242890332,instagram.com/upcote_barn,facebook.com/theBarnatUpcote,True,80,CALL_NOW,2026-03-20,enriched
Lapstone Barn,Gloucestershire,Barn Venue,DRY_HIRE,150,https://www.lapstonebarn.co.uk/,info@lapstonebarn.co.uk,01386 849024,instagram.com/lapstonebarn,facebook.com/LapstoneBarn,True,80,CALL_NOW,2026-03-20,enriched
Upton Barn,Devon,Barn Venue,DRY_HIRE,200,https://www.uptonbarn.com/,info@uptonbarn.com,004077571312,instagram.com/uptonbarnweddings,facebook.com/Upton,True,80,CALL_NOW,2026-03-20,enriched
Godwick Hall,Norfolk,Barn Venue,DRY_HIRE,200,https://godwickhall.co.uk/,info@godwickhall.co.uk,01328 701948,instagram.com/godwickweddings,facebook.com/GodwickGreatBarn,True,80,CALL_NOW,2026-03-20,enriched
The Compasses at Pattiswick,Essex,Barn Venue,DRY_HIRE,180,https://compassesweddings.co.uk/,info@thecompassesatpattiswick.co.uk,01376 561322,instagram.com/compassespattiswick,facebook.com/CompassesatPattiswick,True,80,CALL_NOW,2026-03-20,enriched
Kingston Country Courtyard,Dorset,Barn Venue,DRY_HIRE,180,https://kingstoncountrycourtyard.com/,enquiries@kingstoncountrycourtyard.com,01929 481066,instagram.com/kcc_bed.and.breakfast,facebook.com/Kingston,True,80,CALL_NOW,2026-03-20,enriched
The Granary Estates,Suffolk,Barn Venue,DRY_HIRE,200,https://www.thegranaryestates.co.uk/,info@thegranaryestates.co.uk,012870476407,instagram.com/granaryestates,facebook.com/2008,True,80,CALL_NOW,2026-03-20,enriched
South Farm,Cambridgeshire,Barn Venue,DRY_HIRE,200,https://south-farm.co.uk/,info@south-farm.co.uk,01223 207581,instagram.com/southfarmweddings,facebook.com/South,True,80,CALL_NOW,2026-03-20,enriched
Cripps Barn,Gloucestershire,Barn Venue,DRY_HIRE,200,https://crippsandco.com/cripps-barn,enquiries@crippsandco.com,+44 1285 721909,instagram.com/crippsandco,facebook.com/crippsandco,True,80,CALL_NOW,2026-03-20,enriched
Millbridge Court,Surrey,Barn Venue,DRY_HIRE,150,https://www.millbridgecourt.co.uk/,hello@millbridgecourt.co.uk,01252 792572,instagram.com/millbridgecourt,facebook.com/MillbridgeCourt,False,75,HIGH_PRIORITY,2026-03-20,enriched
Winters Barns,Kent,Barn Venue,DRY_HIRE,200,https://www.winters-barns.co.uk/,,01227 472581,instagram.com/wintersbarns,facebook.com/pages,True,75,HIGH_PRIORITY,2026-03-20,enriched
Huntsmill Farm,Buckinghamshire,Barn Venue,DRY_HIRE,150,https://huntsmillweddings.co.uk/,info@huntsmill.com,01280 704852,,facebook.com/huntsmillfarmweddings,True,75,HIGH_PRIORITY,2026-03-20,enriched
Stratton Court Barn,Oxfordshire,Barn Venue,DRY_HIRE,150,https://www.strattoncourtbarn.co.uk/,enquiries@strattoncourtbarn.co.uk,01869 278899,,facebook.com/strattoncourtbarn,True,75,HIGH_PRIORITY,2026-03-20,enriched
Hyde House,Gloucestershire,Country Estate,DRY_HIRE,150,https://hyde-house.uk/,hello@hyde-house.uk,+447447753176,instagram.com/hyde_house,facebook.com/p,False,75,HIGH_PRIORITY,2026-03-20,enriched
Cleeve House,Wiltshire,Country Estate,DRY_HIRE,150,https://cleeve-house.com/,info@cleeve-house.com,01380 827129,,facebook.com/CleeveHouse,True,75,HIGH_PRIORITY,2026-03-20,enriched
Spinney Abbey,Cambridgeshire,Barn Venue,DRY_HIRE,175,https://www.spinneystays.com/,,+4407445038728,instagram.com/spinney_stays,facebook.com/profile.php,True,75,HIGH_PRIORITY,2026-03-20,enriched
Caswell House,Oxfordshire,Country Estate,EXTERNAL_OK,160,https://caswellhouse.co.uk/,events@caswellhouse.co.uk,,instagram.com/caswellhouse,,True,70,HIGH_PRIORITY,2026-03-20,enriched
Almonry Barn,Somerset,Barn Venue,DRY_HIRE,150,https://almonrybarnsomerset.com/,enquiries@almonrybarnsomerset.com,07879 890145,instagram.com/almonrybarnsomerset,facebook.com/profile.php,False,70,HIGH_PRIORITY,2026-03-20,enriched
Chilford Hall,Cambridgeshire,Barn Venue,DRY_HIRE,200,https://www.chilfordhall.co.uk/,events@the-garden-rooms.co.uk,,instagram.com/chilford_hall_vineyard,facebook.com/chilfordhall,False,70,HIGH_PRIORITY,2026-03-20,enriched
Childerley Long Barn,Cambridgeshire,Barn Venue,DRY_HIRE,180,https://www.childerley.org/,,,instagram.com/childerley_weddings,facebook.com/childerleyevents,True,65,HIGH_PRIORITY,2026-03-20,enriched
Dodmoor House,Northamptonshire,Barn Venue,DRY_HIRE,200,https://www.dodmoorhouse.co.uk/,,,instagram.com/dodmoor_house,facebook.com/Dodmoor.House,True,65,HIGH_PRIORITY,2026-03-20,enriched
Merriscourt,Oxfordshire,Barn Venue,DRY_HIRE,250,https://www.merriscourt.com/,,,,,False,50,STANDARD,2026-03-20,enriched
Battleswick Farm,Essex,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
The Priory Barn,Hertfordshire,Barn Venue,DRY_HIRE,100,,,,,,False,45,STANDARD,2026-03-20,enriched
South Stoke Barn,West Sussex,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
Cogges Manor Farm,Oxfordshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,,venue_classifications
Kingscote Barn,Gloucestershire,Barn Venue,DRY_HIRE,200,,,,,,False,45,STANDARD,,venue_classifications
Brickhouse Vineyard,Devon,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
The Great Barn Devon,Devon,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
The Oak Barn,Devon,Barn Venue,DRY_HIRE,125,,,,,,False,45,STANDARD,2026-03-20,enriched
Nancarrow Farm,Cornwall,Barn Venue,DRY_HIRE,130,,,,,,False,45,STANDARD,2026-03-20,enriched
Manor Mews,Norfolk,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Pentney Abbey,Norfolk,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Chaucer Barn,Norfolk,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
Suffolk Barn at Hawstead Place,Suffolk,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
The Old Hall Ely,Cambridgeshire,Country Estate,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Sissons Barn,Cambridgeshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Willow Grange Farm,Cambridgeshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Swallows Nest Barn,Warwickshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Longbourn Estate Barn,Warwickshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Meadow Barn at Stratford Park,Warwickshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Barns and Yards,Worcestershire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Rhyse Farm,Worcestershire,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
Bredenbury Court Barns,Herefordshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Wood Farm Everdon,Northamptonshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
The Great Barn Aynho,Northamptonshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
The Old Kent Barn,Kent,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Blake Hall,Essex,Barn Venue,DRY_HIRE,120,,,,,,False,45,STANDARD,2026-03-20,enriched
Rivervale Barn,Hampshire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Launcells Barton,Cornwall,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Trevenna,Cornwall,Barn Venue,DRY_HIRE,100,,,,,,False,45,STANDARD,2026-03-20,enriched
Curradine Barns,Worcestershire,Barn Venue,DRY_HIRE,150,,,,,,False,45,STANDARD,2026-03-20,enriched
Loseley Park,Surrey,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Botleys Mansion,Surrey,Country Estate,EXTERNAL_OK,220,,,,,,False,35,NURTURE,,venue_classifications
Clandon Park,Surrey,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Painshill Park,Surrey,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Russets Country House,Surrey,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Bradbourne House,Kent,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Knowlton Court,Kent,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Chilston Park,Kent,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Hylands House,Essex,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Channels Estate,Essex,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Wivenhoe House,Essex,Country Estate,EXTERNAL_OK,120,,,,,,False,35,NURTURE,,venue_classifications
The Heron,Essex,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Hatfield House,Hertfordshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Ashridge House,Hertfordshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Hanbury Manor,Hertfordshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Sopwell House,Hertfordshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,,venue_classifications
St Michael's Manor,Hertfordshire,Country Estate,EXTERNAL_OK,120,,,,,,False,35,NURTURE,,venue_classifications
Micklefield Hall,Hertfordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Offley Place,Hertfordshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Knebworth House,Hertfordshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Hedsor House,Surrey,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,2026-03-20,enriched
Cliveden House,Berkshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Waddesdon Manor,Buckinghamshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Stoke Park,Buckinghamshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Hartwell House,Buckinghamshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Lillibrooke Manor,Buckinghamshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
The Vineyard,Berkshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Wasing Park,Berkshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Benham Park,Berkshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Avington Park,Hampshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Froyle Park,Hampshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,2026-03-20,enriched
Rhinefield House,Hampshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Pylewell Park,Hampshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Wintershill Hall,Hampshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Balmer Lawn,Hampshire,Country Estate,EXTERNAL_OK,180,,,,,,False,35,NURTURE,,venue_classifications
Elmers Court,Hampshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Careys Manor,Hampshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Rotherwick,Hampshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Goodwood House,West Sussex,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Wiston House,West Sussex,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Firle Place,East Sussex,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,2026-03-20,enriched
Glynde Place,East Sussex,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Buxted Park,East Sussex,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Hawkwell House,Oxfordshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Elmore Court,Gloucestershire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Owlpen Manor,Gloucestershire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Longleat,Wiltshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Syrencot,Wiltshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Henge Estate,Wiltshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Trafalgar Park,Wiltshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Mapperton House,Dorset,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Came House,Dorset,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Warmwell House,Dorset,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Abbots Court,Dorset,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Minterne House,Dorset,Country Estate,EXTERNAL_OK,120,,,,,,False,35,NURTURE,,venue_classifications
Orchardleigh,Somerset,Country Estate,EXTERNAL_OK,160,,,,,,False,35,NURTURE,,venue_classifications
Crowcombe Court,Somerset,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Rockbeare Manor,Devon,Country Estate,EXTERNAL_OK,180,,,,,,False,35,NURTURE,,venue_classifications
Pynes House,Devon,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Boconnoc,Cornwall,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Tredudwell Manor,Cornwall,Country Estate,EXTERNAL_OK,100,,,,,,False,35,NURTURE,,venue_classifications
Holkham Hall,Norfolk,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Blickling Hall,Norfolk,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
West Lexham Manor,Norfolk,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Hengrave Hall,Suffolk,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Haughley Park,Suffolk,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Wilderness Reserve,Suffolk,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Bruisyard Hall,Suffolk,Country Estate,EXTERNAL_OK,140,,,,,,False,35,NURTURE,,venue_classifications
Chippenham Park,Cambridgeshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Swynford Manor,Cambridgeshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Compton Verney,Warwickshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Wethele Manor,Warwickshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Wootton Park,Warwickshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Birtsmorton Court,Worcestershire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
The Wood Norton,Worcestershire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Brinsop Court,Herefordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Dewsall Court,Herefordshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Hellens Manor,Herefordshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Turvey House,Bedfordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Woburn Abbey,Bedfordshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Southill Park,Bedfordshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Althorp,Northamptonshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Plum Park Manor,Northamptonshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Northwood House,Isle of Wight,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Appuldurcombe House,Isle of Wight,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Littlecote House,Berkshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Knepp Castle Estate,West Sussex,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Hastoe Hall,Hertfordshire,Country Estate,EXTERNAL_OK,100,,,,,,False,35,NURTURE,,venue_classifications
Coworth Park,Berkshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Stowe House,Buckinghamshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Marks Hall,Essex,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Parley Manor,Dorset,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Port Lympne,Kent,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Kirtlington Park,Oxfordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Aynhoe Park,Oxfordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Euridge Manor,Wiltshire,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Ston Easton Park,Somerset,Country Estate,EXTERNAL_OK,120,,,,,,False,35,NURTURE,,venue_classifications
Iscoyd Park,Shropshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Wotton House,Surrey,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Hampton Estate,Surrey,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Burrows Lea Country House,Surrey,Country Estate,EXTERNAL_OK,100,,,,,,False,35,NURTURE,,venue_classifications
Bore Place,Kent,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Boughton Monchelsea Place,Kent,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Down Hall,Essex,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
Prested Hall,Essex,Country Estate,EXTERNAL_OK,150,,,,,,False,35,NURTURE,,venue_classifications
Tylney Hall,Hampshire,Country Estate,EXTERNAL_OK,250,,,,,,False,35,NURTURE,2026-03-20,enriched
The Grove,Hertfordshire,Country Estate,EXTERNAL_OK,300,,,,,,False,35,NURTURE,2026-03-20,enriched
Brocket Hall,Hertfordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Pendley Manor,Hertfordshire,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
Bovey Castle,Devon,Country Estate,EXTERNAL_OK,200,,,,,,False,35,NURTURE,,venue_classifications
